0,0,1,14,3
1,1,2,46,3
2,2,3,22,3
3,4,5,65,3
4,3,5,9,3
5,6,7,22,3
6,1,8,88,3
7,8,9,75,3
8,0,10,20,3
9,10,11,33,3
10,0,12,18,3
11,12,7,54,3
12,13,14,7,3
13,14,4,37,3
14,4,15,109,3
15,5,7,33,3
16,16,17,71,3
17,18,19,4,3
18,20,21,39,3
19,13,6,41,3
20,20,15,27,3
21,17,11,33,3
22,22,23,21,3
23,24,17,63,3
24,25,26,34,3
25,20,27,49,3
26,13,28,8,3
27,28,29,26,3
28,30,11,64,3
29,16,22,6,3
30,9,31,65,3
31,32,7,60,3
32,19,33,15,3
33,15,34,48,3
34,13,33,62,3
35,25,21,33,3
36,0,35,28,3
37,35,36,18,3
38,36,37,17,3
39,38,39,51,3
40,39,40,28,3
41,40,41,26,3
42,32,42,21,3
43,43,44,9,3
44,44,29,14,3
45,45,27,14,3
46,46,30,47,3
47,31,47,87,3
48,37,48,23,3
49,48,32,27,3
50,34,27,21,3
51,46,37,13,3
52,25,49,46,3
53,26,50,31,3
54,22,38,20,3
55,21,51,49,3
56,34,33,44,3
57,43,52,94,3
58,53,54,14,3
59,37,55,17,3
60,55,56,6,3
61,56,57,43,3
62,58,59,7,3
63,50,60,43,3
64,49,58,5,3
65,61,24,48,3
66,53,50,72,3
67,52,34,45,3
68,49,51,39,3
69,43,42,39,3
70,30,24,39,3
71,61,38,32,3
72,51,45,25,3
73,62,63,58,3
74,52,64,36,3
75,65,58,44,3
76,66,37,107,3
77,61,67,32,3
78,68,69,15,3
79,53,62,42,3
80,70,47,44,3
81,24,71,47,3
82,72,73,35,3
83,73,74,70,3
84,74,47,70,3
85,59,60,50,3
86,61,69,71,3
87,68,40,22,3
88,64,45,53,3
89,67,75,14,3
90,67,76,75,3
91,64,77,13,3
92,77,78,33,3
93,72,79,11,3
94,80,64,34,3
95,43,81,8,3
96,81,82,88,3
97,83,60,35,3
98,62,84,34,3
99,70,85,11,3
100,86,63,25,3
101,57,87,18,3
102,87,71,36,3
103,69,76,31,3
104,72,88,5,3
105,89,60,73,3
106,85,68,73,3
107,52,78,26,3
108,53,89,32,3
109,90,59,47,3
110,91,83,70,3
111,86,92,43,3
112,93,94,42,3
113,80,95,26,3
114,96,76,17,3
115,65,97,21,3
116,98,71,39,3
117,91,89,25,3
118,99,57,39,3
119,100,83,19,3
120,86,101,44,3
121,101,102,31,3
122,93,79,8,3
123,90,100,7,3
124,85,103,29,3
125,65,90,26,3
126,65,80,44,3
127,70,104,47,3
128,104,105,18,3
129,72,106,12,3
130,106,107,12,3
131,107,108,70,3
132,108,105,23,3
133,75,71,56,3
134,95,109,8,3
135,110,91,41,3
136,99,111,9,3
137,111,98,24,3
138,112,113,47,3
139,113,114,10,3
140,114,115,13,3
141,115,116,31,3
142,102,117,33,3
143,117,118,16,3
144,95,119,5,3
145,103,120,75,3
146,94,121,59,3
147,100,122,36,3
148,122,123,6,3
149,124,96,89,3
150,103,124,9,3
151,79,125,186,3
152,75,126,41,3
153,97,119,42,3
154,110,84,31,3
155,84,92,83,3
156,127,112,19,3
157,105,120,27,3
158,72,128,10,3
159,128,129,60,3
160,129,130,31,3
